branch,category,age_days,changed_lines,files_changed,last_commit_subject,compare_url
origin/agent/shared-ai-constitution-advisors,review_large,31,840,12,共通文脈マニフェストへ顧問団と各AI入口を追加,https://github.com/tamago2022/joy-relief-station/compare/main...agent/shared-ai-constitution-advisors
origin/reports/ai-frontier-vol-002-2026-08-06,review_large,30,409,2,AI最前線マガジン索引へVol.002を追加,https://github.com/tamago2022/joy-relief-station/compare/main...reports/ai-frontier-vol-002-2026-08-06
origin/reports/ai-frontier-vol-003-2026-08-07,review_large,29,701,3,AI最前線マガジン索引へVol.003を追加,https://github.com/tamago2022/joy-relief-station/compare/main...reports/ai-frontier-vol-003-2026-08-07
origin/chore/add-organization-advisors-20260808,review_large,28,325,5,Expose specialist relay and knowledge seed protocols,https://github.com/tamago2022/joy-relief-station/compare/main...chore/add-organization-advisors-20260808
origin/reports/ai-frontier-vol-004-2026-08-08,review_large,28,912,4,docs: index AI frontier report vol 004,https://github.com/tamago2022/joy-relief-station/compare/main...reports/ai-frontier-vol-004-2026-08-08
origin/feature/gpt-roundtable-local,review_large,27,2266,18,ui: hide all roundtable diagnostics,https://github.com/tamago2022/joy-relief-station/compare/main...feature/gpt-roundtable-local
origin/research/loop-engineering-frontier-2026-08-08,review_large,27,1199,11,feat: add standalone OpenAI roundtable provider,https://github.com/tamago2022/joy-relief-station/compare/main...research/loop-engineering-frontier-2026-08-08
origin/claude/chef-genre-expand-0810,review_large,25,699,2,フードレーダーのシェフ在庫を拡充（三國清三を新規追加、既存5人を10本前後へ）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/chef-genre-expand-0810
origin/claude/badge-consistency-bulk-0810,review_large,25,1155,23,バッジをURL直登録カードにも拡張し、棚一覧をグリッド表示に試作変更,https://github.com/tamago2022/joy-relief-station/compare/main...claude/badge-consistency-bulk-0810
origin/claude/consolidated-batch-0810,review_large,25,2404,23,べにや無何有に公式サイトの由来ストーリーを追加、宿棚10件の公式リンクを監査,https://github.com/tamago2022/joy-relief-station/compare/main...claude/consolidated-batch-0810
origin/claude/shelf-qr-share-0810,review_large,25,420,4,棚単体ページに独立したQR共有ボタンを追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-qr-share-0810
origin/claude/fix-build-deps-0812,review_large,24,9763,12,バッジを2倍にし、置き場所による大きさのバラつきを無くす（店主指示）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/fix-build-deps-0812
origin/claude/shelf-grid-0812,review_large,24,720,10,バッジをURL直登録カードにも拡張し、棚一覧をグリッド表示に試作変更,https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-grid-0812
origin/claude/copy-tan-olafur-arnalds,review_large,23,351,2,汎用コピー書き直し：Ólafur Arnalds 27曲,https://github.com/tamago2022/joy-relief-station/compare/main...claude/copy-tan-olafur-arnalds
origin/claude/satie-fevrier-credit-fix,review_large,23,330,7,記憶更新：Lovable公開停止は解消済みの可能性、ボトルネックは未PRブランチ自動回収の遅延,https://github.com/tamago2022/joy-relief-station/compare/main...claude/satie-fevrier-credit-fix
origin/claude/task-board-columns,review_large,23,2712,32,台帳：開始日・完了日の列を追加し、番号の永久保存を機械で守らせる,https://github.com/tamago2022/joy-relief-station/compare/main...claude/task-board-columns
origin/fix/yazawa-dead-videos-v2,review_large,23,303,5,穴埋め第4陣：残件25→19。重複を作ってしまった3件も自分で検出して解消,https://github.com/tamago2022/joy-relief-station/compare/main...fix/yazawa-dead-videos-v2
origin/backup/aisansan-patrol-rescue-20260814,review_large,21,15006,182,保全: パトロール指摘（消失リスク）への緊急対応、未コミット変更を一括コミット,https://github.com/tamago2022/joy-relief-station/compare/main...backup/aisansan-patrol-rescue-20260814
origin/claude/kanban-board-0815,review_large,21,869,4,見える化ボード（カンバン）を追加：本番の /board.html でいつでも進みぐあいが見れる,https://github.com/tamago2022/joy-relief-station/compare/main...claude/kanban-board-0815
origin/claude/card-action-unify,review_large,20,484,15,バッジサイズを固定pxから比率（%）ベースへ変更（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/card-action-unify
origin/claude/fix-build-deps-0812-rescue-20260816,review_large,20,10095,15,バッジ選択メニューが枠に埋もれる不具合を修正、共通AnchoredMenuを新設（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/fix-build-deps-0812-rescue-20260816
origin/claude/postcard-nenchugyoji-rescue-20260816,review_large,20,898,6,年中行事はがき機能（postcard）一式を追加（4日間未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/postcard-nenchugyoji-rescue-20260816
origin/claude/search-perf-and-hashtags-rescue-20260816,review_large,20,430,6,検索の表記ゆれ・コンテンツタグ辞書まわりの改善（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/search-perf-and-hashtags-rescue-20260816
origin/claude/shelf-siblings-section-rescue-20260816,review_large,20,351,5,feat: 「同じ棚の仲間」セクションを新設（新ルール・店主指示2026-08-15）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-siblings-section-rescue-20260816
origin/claude/spotify-canonical-ingest-rescue-20260816,review_large,20,49520,7,店主のSpotify全プレイリスト分析・ChatGPT向け仕入れリサーチ資料一式を追加（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/spotify-canonical-ingest-rescue-20260816
origin/claude/actions-trigger-checklist-0820,review_large,16,15418,186,docs: Actionsトリガー変更前の影響確認手順を追加＋682回削減の誤解を解消,https://github.com/tamago2022/joy-relief-station/compare/main...claude/actions-trigger-checklist-0820
origin/claude/content-hygiene-0819,review_large,16,4145,6,非楽曲コンテンツ・素人カバー・重複をサイト全体で除去,https://github.com/tamago2022/joy-relief-station/compare/main...claude/content-hygiene-0819
origin/claude/fix-old-format-dead-video-shuffle-0820,review_large,16,326,9,docs: YouTube/X/Instagramの動画リンク寿命と埋め込み可否を実測でまとめる,https://github.com/tamago2022/joy-relief-station/compare/main...claude/fix-old-format-dead-video-shuffle-0820
origin/claude/ogp-image-fallback-0819,review_large,13,15304,185,fix: Virtual Insanity(Jamiroquai)にcopyフィールドを追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/ogp-image-fallback-0819
origin/dispatch/20260826-acdc-hub-spoke,review_large,10,384,6,dispatch: AC/DC hub-spoke and shelf editor improvements,https://github.com/tamago2022/joy-relief-station/compare/main...dispatch/20260826-acdc-hub-spoke
origin/ai/stopless-factory-v1-20260826,review_large,9,1148,10,test: add minimal Codex usage A/B/C protocol,https://github.com/tamago2022/joy-relief-station/compare/main...ai/stopless-factory-v1-20260826
origin/codex/stopless-context-v1-20260826,review_large,9,1630,10,refactor(ai): scope shared-brain rules by path,https://github.com/tamago2022/joy-relief-station/compare/main...codex/stopless-context-v1-20260826
origin/codex/stopless-context-v1-clean-20260826,review_large,9,949,12,AI factory: checkpoint emergency stabilization state,https://github.com/tamago2022/joy-relief-station/compare/main...codex/stopless-context-v1-clean-20260826
origin/claude/youtube-search-secrets-fix,review_large,5,357,8,fix: YouTube検索APIキーが本番に届かない問題を修理(店主最優先案件),https://github.com/tamago2022/joy-relief-station/compare/main...claude/youtube-search-secrets-fix
origin/claude/ai-buddha-common-brain,review_large,4,413,7,GitHub共通脳にAI BUDDHA(対機説法エンジン)を追加、ChatGPTへ依頼,https://github.com/tamago2022/joy-relief-station/compare/main...claude/ai-buddha-common-brain
origin/claude/room-id-fix-0831,review_large,4,586,8,feat: 堀込泰行↔キリンジのバンド/ソロ相互リンクを既存パターンに合わせて追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/room-id-fix-0831
origin/claude/youtube-quota-cache-0901,review_large,4,377,4,YouTube API日次クォータ枯渇の恒久対策: 検索結果キャッシュ+使用量記録+実行予算の安全弁,https://github.com/tamago2022/joy-relief-station/compare/main...claude/youtube-quota-cache-0901
origin/inbound-japan-landing,review_large,4,628,7,"feat: インバウンド向け無料配布ページ「Before you land」v1(/japan, /japan-ja)",https://github.com/tamago2022/joy-relief-station/compare/main...inbound-japan-landing
origin/agent/task-153-ingest-standing-v2,review_large,2,2472,10,常設仕入れ(案件#153): 第3バッチ40曲（カバー筋・店主指示「この曲のカバーはないかな」）,https://github.com/tamago2022/joy-relief-station/compare/main...agent/task-153-ingest-standing-v2
origin/agent/task-153-ingest-standing,review_large,2,3650,11,常設仕入れ(案件#153): 第3バッチ40曲（カバー筋・店主指示「この曲のカバーはないかな」）,https://github.com/tamago2022/joy-relief-station/compare/main...agent/task-153-ingest-standing
origin/claude/feature-sayonara-natsu-0902,review_large,2,1112,5,特集(叩き・未公開): 山下達郎「さよなら夏の日」MAGAZINE STORY — 夏は終わる。返事は、来る。,https://github.com/tamago2022/joy-relief-station/compare/main...claude/feature-sayonara-natsu-0902
origin/claude/ingest-standing-0902-v2,review_large,2,3650,11,常設仕入れ(案件#153): 第3バッチ40曲（カバー筋・店主指示「この曲のカバーはないかな」）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/ingest-standing-0902-v2
origin/feat/gokigen-map,review_large,2,1200,6,feat(map): ごきげんマップのプロトタイプ /map（Leaflet+OpenStreetMap・課金なし・裏が取れた8か所）,https://github.com/tamago2022/joy-relief-station/compare/main...feat/gokigen-map
origin/gossip-warehouse-0902,review_large,2,341,7,ゴシップ切り抜き動画19件を倉庫へ下ろす＋compliance-checkにタイトル判定を追加,https://github.com/tamago2022/joy-relief-station/compare/main...gossip-warehouse-0902
origin/codex-dispatch,review_large,0,702,7,dispatch: build Bokemaru PWA prototype,https://github.com/tamago2022/joy-relief-station/compare/main...codex-dispatch
origin/tamago/issue-briefs-hold,review_large,0,2564,1,[skip ci] issue-briefs自動更新,https://github.com/tamago2022/joy-relief-station/compare/main...tamago/issue-briefs-hold
origin/jules-2123314332259490-6351de66,stale_small,54,64,4,fix(data): fix duplicate card logic without touching unrelated data,https://github.com/tamago2022/joy-relief-station/compare/main...jules-2123314332259490-6351de66
origin/agent/issue-60-healing-partial-clean,stale_small,52,68,3,58号: 癒し棚修復レポートを累計表示へ修正,https://github.com/tamago2022/joy-relief-station/compare/main...agent/issue-60-healing-partial-clean
origin/agent/issue-60-public-seven-run-1,stale_small,52,2,1,58号: 公開棚7件の実修復を開始,https://github.com/tamago2022/joy-relief-station/compare/main...agent/issue-60-public-seven-run-1
origin/agent/issue-60-public-route-deploy-markers,stale_small,52,6,1,58号: 公開棚5ルートをLovable実データ検品へ追加,https://github.com/tamago2022/joy-relief-station/compare/main...agent/issue-60-public-route-deploy-markers
origin/agent/issue-60-public-seven-syntax-fix,stale_small,52,27,2,58号: 構文修復ラッパー経由で公開棚修復を実行,https://github.com/tamago2022/joy-relief-station/compare/main...agent/issue-60-public-seven-syntax-fix
origin/agent/issue-60-public-seven-workflow-trigger,stale_small,52,19,1,58号: 公開棚修復をPR開始時の一回実行へ変更,https://github.com/tamago2022/joy-relief-station/compare/main...agent/issue-60-public-seven-workflow-trigger
origin/agent/lovable-deploy-check-pr-trigger,stale_small,52,22,1,管理職AI: PR起点のLovable公開検品トリガーを追加,https://github.com/tamago2022/joy-relief-station/compare/main...agent/lovable-deploy-check-pr-trigger
origin/agent/lovable-deploy-check-run-1,stale_small,52,3,1,58号: Lovable公開bundleの8マーカー検品を開始,https://github.com/tamago2022/joy-relief-station/compare/main...agent/lovable-deploy-check-run-1
origin/rescue/issue-60-audit,stale_small,52,10,5,58号: PR上で厳格5件バッチを保存 [partial],https://github.com/tamago2022/joy-relief-station/compare/main...rescue/issue-60-audit
origin/pj5wts-codex/julespr,stale_small,51,6,2,Fix Jules remainder audit issues,https://github.com/tamago2022/joy-relief-station/compare/main...pj5wts-codex/julespr
origin/agent/task-171-work,stale_small,48,67,2,task-171: brain-test通電試験・合言葉ページ（第二の脳の一周実証）,https://github.com/tamago2022/joy-relief-station/compare/main...agent/task-171-work
origin/agent/no-repeat-project-context,stale_small,44,49,3,固定プロジェクト情報を現在地へ追加,https://github.com/tamago2022/joy-relief-station/compare/main...agent/no-repeat-project-context
origin/claude/fix-dead-youtube-thumbnails,stale_small,44,32,2,音楽棚の削除済みYouTube動画15件のサムネイル/再生IDを差し替え,https://github.com/tamago2022/joy-relief-station/compare/main...claude/fix-dead-youtube-thumbnails
origin/claude/task-132-bulk-ingest-400-f9jwjs,stale_small,44,45,2,88号（Issue132・新規400曲仕入れ）: ネットワーク制限ブロックを共有記憶へ記録,https://github.com/tamago2022/joy-relief-station/compare/main...claude/task-132-bulk-ingest-400-f9jwjs
origin/fable/task-171-recover,stale_small,43,57,2,task-171: brain-test通電試験を最新mainへ再搬入（安全上停止の回収）,https://github.com/tamago2022/joy-relief-station/compare/main...fable/task-171-recover
origin/claude/add-claude-agents-docs-4c2l94,stale_small,36,60,3,CLAUDE.mdとAGENTS.mdへ完了の定義と自律動作の原則を明文化,https://github.com/tamago2022/joy-relief-station/compare/main...claude/add-claude-agents-docs-4c2l94
origin/claude/card-text-space,stale_small,36,16,1,おすすめカードの共有・♡を外して、題名と説明をもっと読めるようにする,https://github.com/tamago2022/joy-relief-station/compare/main...claude/card-text-space
origin/claude/good-cover-badge-0810,stale_small,26,75,3,グッドカバーバッジを本物の画像に差し替える,https://github.com/tamago2022/joy-relief-station/compare/main...claude/good-cover-badge-0810
origin/claude/instagram-card-0809,stale_small,26,38,3,サムネの無いカードが関連の列から消えていたのを直す（片道リンクの原因）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/instagram-card-0809
origin/claude/glim-spanky-artist-page-0810,stale_small,25,25,3,GLIM SPANKYの誤配置データを正しいアーティストページへ移す,https://github.com/tamago2022/joy-relief-station/compare/main...claude/glim-spanky-artist-page-0810
origin/claude/fujirock-gap-fill-0810,stale_small,25,94,3,フジロック出演アーティストの未収録7組を仕入れ,https://github.com/tamago2022/joy-relief-station/compare/main...claude/fujirock-gap-fill-0810
origin/claude/petit-stories-ssr-all-12,stale_small,24,31,1,fix: プチ物語12本すべてを検索エンジンに見せる（後半6本がHTMLに載っていなかった）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/petit-stories-ssr-all-12
origin/claude/akg-blue-train-0812,stale_small,23,1,1,仕入れ：ASIAN KUNG-FU GENERATION「ブルートレイン」を追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/akg-blue-train-0812
origin/claude/boukyou-world-expansion,stale_small,23,47,2,feat: 望郷テーマを世界へ横展開（韓国・メキシコ・台湾・ポルトガル）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/boukyou-world-expansion
origin/claude/fix-dead-links-kazari-koori,stale_small,23,11,1,fix: 飾りじゃないのよ涙は・氷の世界の死んだリンクを仕入れて解消,https://github.com/tamago2022/joy-relief-station/compare/main...claude/fix-dead-links-kazari-koori
origin/claude/fujirock-batch2608-retry,stale_small,23,62,1,feat: フジロック常連の未収録5組を仕入れ（銀杏BOYZ・クリープハイプ・岡崎体育・キセル・曽我部恵一）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/fujirock-batch2608-retry
origin/claude/jr-tokai-kyoto-coltrane,stale_small,23,1,1,feat: JR東海「そうだ京都、行こう」×John Coltrane「My Favorite Things」を接続,https://github.com/tamago2022/joy-relief-station/compare/main...claude/jr-tokai-kyoto-coltrane
origin/claude/shelf-editor-fill-empty,stale_small,23,16,1,fix: 空っぽの棚2件（カレーの棚・失敗）を既存資産の再利用で埋める,https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-editor-fill-empty
origin/claude/spotify-gap-4artists,stale_small,23,50,1,feat: 店主のSpotify実データ頻出アーティスト4組を仕入れ（Michael Bolton・佐藤竹善・柴田淳・Coco d'Or）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/spotify-gap-4artists
origin/feature/glim-spanky-hanaregumi-whisky,stale_small,23,78,2,修正：ハナレグミの死んだリンクを生きている行き先へ向ける,https://github.com/tamago2022/joy-relief-station/compare/main...feature/glim-spanky-hanaregumi-whisky
origin/claude/healing-music-related-0814-rescue-20260816,stale_small,22,30,1,feat: 癒しの音楽棚30件にrelated導線を追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/healing-music-related-0814-rescue-20260816
origin/claude/inn-related-links-0814,stale_small,22,10,1,feat: 「日本の美しい宿」10件を相互リンクし、テクノシャーマン型の余韻導線を作る,https://github.com/tamago2022/joy-relief-station/compare/main...claude/inn-related-links-0814
origin/claude/maldon-sea-salt-125g,stale_small,22,38,1,feat: マルドン シーソルト 125gを商品ページとして仕入れ,https://github.com/tamago2022/joy-relief-station/compare/main...claude/maldon-sea-salt-125g
origin/claude/rinapon-midnight-pretenders,stale_small,22,6,1,fix: Midnight Pretendersの片道リンク解消+Ms.OOJAカバー追加（りなぽん案件・正式移管分）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/rinapon-midnight-pretenders
origin/claude/tania-maria-come-with-me,stale_small,22,13,1,feat: Tania Maria「Come With Me」を仕入れ（店主音声指示の特定・仕入れ）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/tania-maria-come-with-me
origin/proto/3d-gokigen,trivial_old,51,0,0,3D試作v3: 月と夜空・提灯グロー・光だまり・電柱電線・自販機・縦看板・木床ギャラリー・まばたき [skip ci],https://github.com/tamago2022/joy-relief-station/compare/main...proto/3d-gokigen
